Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0.2825245608812147,0.25,0.04886645352965088,0.26666666666666666,0.9275071477565213,0.5833333333333334,0.5,0.0,0.3333333333333333,0.32438739789964993
0.0812741887466508,0.5,0.058705077339707916,0.9333333333333333,0.07206840114364103,1.0,0.5,1.0,0.6666666666666666,0.03593932322053675
0.7707651086632926,0.25,0.051036957937098795,0.6666666666666666,0.4682884094289265,0.5833333333333334,0.5,0.0,0.3333333333333333,0.18086347724620772
0.8719857100327477,0.5,0.0,0.4,0.6400934811102282,0.5416666666666666,0.5,1.0,0.0,0.06126021003500584
0.26049419470080376,0.25,0.0,0.6,0.09580455554876435,0.08333333333333333,0.0,1.0,0.3333333333333333,0.08424737456242708
0.3477225364691872,0.5,0.0,0.0,0.08536051178615812,1.0,0.5,1.0,0.6666666666666666,0.045857642940490086
0.5415302173265852,0.5,0.038798538990179474,0.8666666666666667,0.11192266161400077,0.08333333333333333,0.0,1.0,0.3333333333333333,0.02718786464410735
0.5004230694811905,0.25,0.38816495331655726,0.8666666666666667,0.32458709397007796,0.0,0.5,1.0,1.0,0.34959159859976663
0.6933611193807679,0.5,0.05081478068025188,0.3333333333333333,0.2787905181019905,0.7083333333333334,0.5,0.5,0.3333333333333333,0.09142357059509919
0.8719857100327477,0.5,0.2876132566236265,0.3333333333333333,0.6643992488913338,0.9166666666666666,0.5,0.5,0.3333333333333333,0.4098599766627771
0.43137838642453114,0.25,0.0,0.4,0.06048513062907048,0.5833333333333334,0.5,0.0,0.3333333333333333,0.12992998833138855
0.8303066388806192,0.5,0.1384440505345476,0.26666666666666666,0.4788665797390814,0.5,1.0,0.0,0.3333333333333333,0.18873978996499416
0.6278654361417088,0.5,0.30455620232260483,0.4,0.4846747685892604,0.5833333333333334,0.5,0.0,0.3333333333333333,0.13634772462077013
0.7767192616850254,0.5,0.14390569620694904,0.8666666666666667,0.37516468702673705,0.5,1.0,0.0,0.3333333333333333,0.18506417736289385
0.7022923489133671,0.25,0.2071442602614004,0.4,0.7009920271105406,0.08333333333333333,0.0,1.0,0.3333333333333333,0.17036172695449242
0.2646621018160167,0.5,0.2103863136933969,0.13333333333333333,0.1064158330447066,0.5,1.0,0.0,0.3333333333333333,0.13267211201866977
0.43137838642453114,0.25,0.0261762726785027,0.5333333333333333,0.35679019891476343,1.0,0.5,1.0,0.6666666666666666,0.13920653442240374
0.2646621018160167,0.5,0.21071340858031198,0.13333333333333333,0.09792681104795281,0.5833333333333334,0.5,0.0,0.3333333333333333,0.06003500583430572
0.5004230694811905,0.25,0.10425890910976023,0.4666666666666667,0.34802188809431645,0.0,0.5,1.0,1.0,0.1989498249708285
0.5236677582613872,0.25,0.31210397431539433,0.26666666666666666,0.845698442773805,0.7916666666666666,1.0,0.5,0.3333333333333333,0.23792298716452742
0.8511461744566835,0.5,0.4208102502265074,0.8666666666666667,0.9320199118499957,0.08333333333333333,0.0,1.0,0.3333333333333333,0.3278879813302217
0.5004230694811905,0.5,0.10779810836929646,0.0,0.4807095464145767,0.0,0.5,1.0,1.0,0.35320886814469077
0.5980946710330455,0.25,0.0782546965941339,0.6,0.7012713159342339,0.7916666666666666,1.0,0.5,0.3333333333333333,0.13617269544924154
0.5004230694811905,0.25,0.17526974586400595,0.0,0.3242967694177889,0.0,1.0,0.0,0.0,0.015869311551925322
0.5534385233700505,0.5,0.07885870532582402,0.3333333333333333,0.567622700323941,0.5,1.0,0.0,0.3333333333333333,0.3544340723453909
0.502828222685323,0.25,0.3041713043807773,0.6,0.062037772752276815,0.9166666666666666,0.5,0.5,0.3333333333333333,0.0705950991831972
0.18398332837153913,0.5,0.2030915815621081,0.8666666666666667,0.04677960461531148,0.7916666666666666,1.0,0.5,0.3333333333333333,0.09043173862310386
0.42244715689193213,0.75,0.05894234331940234,0.4666666666666667,0.03321924087769696,0.08333333333333333,0.0,1.0,0.3333333333333333,0.024154025670945156
0.08157189639773742,0.5,0.49168996582695085,0.26666666666666666,0.06035100408152178,0.5416666666666666,0.5,1.0,0.0,0.012718786464410737
0.5004230694811905,0.5,0.21992628432620498,0.2,0.05244263118934595,0.0,1.0,0.0,0.0,0.00810968494749125
0.8749627865436141,0.25,0.5187370481356873,0.26666666666666666,0.10401428872182494,0.5416666666666666,0.5,1.0,0.0,0.011435239206534423
0.8362607919023519,0.25,0.2461376371433965,0.5333333333333333,0.2765451717838492,1.0,0.5,1.0,0.6666666666666666,0.23733955659276545
0.8422149449240844,0.25,0.0,0.8666666666666667,0.95661600418339,1.0,0.5,1.0,0.6666666666666666,0.26592765460910156
0.791604644239357,0.25,0.0,0.06666666666666667,0.2625382854892054,0.7083333333333334,0.5,0.5,0.3333333333333333,0.18763127187864648
